City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,kingston,17.997,-76.7936,305.68,76,40,6.17,JM,1696444766
140,pangody,65.85,74.4859,275.49,98,100,2.16,RU,1696444827
141,bousso,10.4795,16.7117,301.12,70,70,0.6,TD,1696444827
142,siwa oasis,29.2041,25.5195,299.68,43,31,1.98,EG,1696444827
143,pacific grove,36.6177,-121.9166,302.82,51,0,1.54,US,1696444620
144,fisterra,42.9049,-9.2629,294.27,84,99,1.32,ES,1696444828
145,cutral-co,-38.9469,-69.2089,289.77,10,5,1.79,AR,1696444828
146,hawaiian paradise park,19.5933,-154.9731,300.39,82,0,2.06,US,1696444828
147,kone,-21.0595,164.8658,291.94,80,13,2.73,NC,1696444828
148,port douglas,-16.4833,145.4667,295.6,86,100,1.88,AU,1696444828
149,hauterive,46.0901,3.4459,287.57,69,88,0.98,FR,1696444828
150,saguenay,48.4168,-71.0657,296.21,59,20,3.09,CA,1696444739
151,baturaja,-4.1333,104.1667,297.15,84,51,0.66,ID,1696444828
152,dhuburi,26.0333,89.9667,297.07,98,100,4.63,IN,1696444828
153,barra de santo antonio,-9.4047,-35.5072,302.75,68,3,6.6,BR,1696444829
154,longyearbyen,78.2186,15.6401,272.06,80,75,7.72,SJ,1696444829
155,san patricio,28.017,-97.5169,307.55,58,98,5.21,US,1696444829
156,fale old settlement,-9.3852,-171.2468,301.24,78,94,4.78,TK,1696444829
157,shimoda,34.6667,138.95,292.1,87,100,5.16,JP,1696444829
158,susuman,62.7833,148.1667,272.03,73,41,1.34,RU,1696444829
159,hadzici,43.8222,18.2067,289.78,67,20,4.12,BA,1696444829
160,adam,22.3756,57.5233,302.28,34,28,3.11,OM,1696444829
161,cole harbour,44.6724,-63.4751,291.81,70,75,5.66,CA,1696444555
162,la ronge,55.1001,-105.2842,284.29,71,100,1.54,CA,1696444829
163,gazojak,41.1875,61.4036,293.51,23,56,4.05,TM,1696444829
164,invercargill,-46.4,168.35,283.72,89,100,0.89,NZ,1696444830
165,nar'yan-mar,67.6713,53.087,277.1,78,100,9.39,RU,1696444830
166,gonabad,34.3529,58.6837,296.17,30,52,1.04,IR,1696444830
167,beidao,34.5686,105.8933,286.33,92,100,1.33,CN,1696444830
168,kununurra,-15.7667,128.7333,298.14,83,8,0.51,AU,1696444830
169,bikenibeu village,1.3673,173.1241,300.13,89,75,1.54,KI,1696444830
170,rabo de peixe,37.8,-25.5833,295.88,88,20,4.12,PT,1696444830
171,abha,18.2164,42.5053,296.29,12,0,7.2,SA,1696444830
172,kardla,58.9978,22.7492,287.07,77,0,6.75,EE,1696444830
173,walvis bay,-22.9575,14.5053,288.68,82,7,1.54,,1696444830
174,tolanaro,-25.0319,46.9987,295.19,78,0,7.2,MG,1696444831
175,baukau,51.5526,7.2042,288.69,68,75,1.79,DE,1696444831
176,nishinoomote,30.7333,131.0,296.66,81,100,7.87,JP,1696444831
177,utrik,11.2278,169.8474,301.76,72,100,6.38,MH,1696444831
178,pathein,16.7833,94.7333,298.69,92,93,2.28,MM,1696444831
179,nampula,-15.1165,39.2666,295.28,76,0,2.95,MZ,1696444831
180,eyl,7.9803,49.8164,300.08,80,95,7.21,SO,1696444831
181,umba,66.6871,34.3429,279.48,94,21,0.45,RU,1696444831
182,chelmsford,51.7357,0.4696,289.96,67,96,5.28,GB,1696444831
183,hermanus,-34.4187,19.2345,290.61,86,100,0.81,ZA,1696444831
184,aykhal,66.0,111.5,268.19,93,95,11.62,RU,1696444832
185,kavaratti,10.5669,72.642,300.23,70,19,1.74,IN,1696444832
186,sao francisco,-15.9486,-44.8644,307.96,33,28,1.27,BR,1696444832
187,port alfred,-33.5906,26.891,292.14,89,79,3.52,ZA,1696444832
188,datong,40.0936,113.2914,281.81,32,0,1.93,CN,1696444832
189,srebrenik,44.7078,18.4881,286.51,60,95,0.92,BA,1696444832
190,codrington,-38.2667,141.9667,281.44,73,92,4.78,AU,1696444832
191,mildura,-34.2,142.15,278.75,85,3,3.98,AU,1696444832
192,kutloanong,-27.8333,26.75,295.66,18,2,2.19,ZA,1696444832
193,miquelon,47.0975,-56.3814,286.15,51,14,3.79,PM,1696444751
194,hirara,24.8,125.2833,301.3,89,75,6.69,JP,1696444832
195,olonkinbyen,70.9221,-8.7187,273.11,64,100,6.96,SJ,1696444833
196,vodnyy,63.5046,53.4095,282.27,95,100,4.82,RU,1696444833
197,amungan,15.3652,119.9582,299.45,86,100,1.82,PH,1696444833
198,santo antonio,-6.3106,-35.4789,302.38,44,36,6.99,BR,1696444833
199,mugango,-1.6833,33.7,296.8,60,84,3.88,TZ,1696444833
200,altay,47.8667,88.1167,281.26,64,1,2.15,CN,1696444833
201,kalaoa,19.7286,-155.9817,299.67,72,20,0.45,US,1696444833
202,nyurba,63.2842,118.3319,272.61,70,83,4.02,RU,1696444833
203,linxia chengguanzhen,35.6003,103.2064,282.87,94,100,1.09,CN,1696444834
204,choyr,46.3611,108.3611,278.02,50,1,1.96,MN,1696444834
205,vallenar,-28.5708,-70.7581,299.76,19,99,5.36,CL,1696444834
206,huangshan,29.7114,118.3125,291.0,92,48,1.23,CN,1696444834
207,el bayadh,33.6832,1.0193,295.27,31,40,3.78,DZ,1696444834
208,mount pearl,47.5166,-52.7813,282.01,78,75,9.26,CA,1696444834
209,la mira tumbiscatio,18.6833,-102.2833,304.23,62,74,0.56,MX,1696444835
210,ardestan,33.3761,52.3694,294.47,48,18,2.0,IR,1696444835
211,pisco,-13.7,-76.2167,294.83,78,0,4.12,PE,1696444835
212,hanting,36.7708,119.2108,288.4,66,4,1.98,CN,1696444835
213,caspe,41.234,-0.0395,298.13,56,5,3.3,ES,1696444835
214,vorgashor,67.5833,63.95,274.29,86,89,2.98,RU,1696444835
215,belozersk,60.0326,37.7957,279.81,88,100,10.73,RU,1696444835
216,yuzhno-kurilsk,44.0306,145.8556,287.25,73,100,6.84,RU,1696444836
217,tazacorte,28.629,-17.9293,297.69,88,0,5.14,ES,1696444836
218,east london,-33.0153,27.9116,292.67,82,100,1.03,ZA,1696444836
219,nikolayevsk-on-amure,53.1406,140.73,277.86,97,100,2.0,RU,1696444836
220,galliano,29.4422,-90.2992,304.82,48,40,3.6,US,1696444836
221,muynoq,43.7683,59.0214,290.14,56,89,5.98,UZ,1696444836
222,formosa,-26.1775,-58.1781,293.14,72,100,9.26,AR,1696444836
223,nuuk,64.1835,-51.7216,276.49,65,75,3.09,GL,1696444837
224,isafjordur,66.0755,-23.124,277.17,81,100,1.54,IS,1696444837
225,acajutla,13.5928,-89.8275,302.42,75,20,4.08,SV,1696444837
226,abatskoye,56.2875,70.4555,283.21,75,94,4.06,RU,1696444837
227,sisimiut,66.9395,-53.6735,274.4,77,100,2.44,GL,1696444837
228,creston,41.0586,-94.3614,297.99,68,20,4.63,US,1696444838
229,mejit,10.2753,170.8646,301.27,74,100,7.53,MH,1696444838
230,nema,57.5067,50.5011,286.19,47,33,7.63,RU,1696444838
231,lillehammer,61.1146,10.4674,279.29,80,31,1.47,NO,1696444838
232,dhidhdhoo,6.8833,73.1,300.03,85,100,6.59,MV,1696444838
233,balqash,46.8481,74.995,287.48,57,0,1.96,KZ,1696444839
234,tangalle,6.024,80.7911,298.24,90,100,2.82,LK,1696444839
235,cukai,4.25,103.4167,298.15,90,49,0.98,MY,1696444839
236,passo fundo,-28.2628,-52.4067,297.29,60,75,2.06,BR,1696444839
237,lata,40.1629,-8.3327,291.36,82,0,1.03,PT,1696444839
238,rurrenabaque,-14.4413,-67.5278,311.98,37,20,7.72,BO,1696444839
239,laguna,38.421,-121.4238,302.78,44,0,3.09,US,1696444839
240,sargatskoye,55.6101,73.4972,282.6,62,33,4.14,RU,1696444840
241,al kharijah,25.4514,30.5464,301.46,33,0,6.14,EG,1696444840
242,chinchilla,-26.75,150.6333,290.8,77,97,1.57,AU,1696444840
243,kodiak,57.79,-152.4072,280.88,81,20,6.69,US,1696444574
244,smithers,54.7804,-127.1743,280.33,93,75,0.0,CA,1696444840
245,revda,56.801,59.9303,283.22,73,99,4.84,RU,1696444840
246,hotan,37.0997,79.9269,290.93,21,87,1.15,CN,1696444840
247,karratha,-20.7377,116.8463,298.09,34,0,4.13,AU,1696444841
248,kragero,58.8693,9.4149,285.62,75,100,5.61,NO,1696444841
249,conceicao do mato dentro,-19.0372,-43.425,301.5,54,90,1.91,BR,1696444841
250,graham,47.0529,-122.2943,289.89,83,100,0.0,US,1696444794
251,iskateley,67.6803,53.1512,277.05,78,100,9.39,RU,1696444841
252,dolores hidalgo cuna de la independencia nacional,21.1561,-100.9308,298.03,38,41,2.22,MX,1696444841
253,klyuchi,52.2667,79.1667,282.39,50,100,2.02,RU,1696444842
254,st. paul,44.9444,-93.0933,292.28,71,100,7.72,US,1696444626
255,umm kaddadah,13.6017,26.6876,307.91,28,52,4.66,SD,1696444842
256,macau,22.2006,113.5461,303.07,79,40,3.09,MO,1696444842
257,dalbandin,28.8947,64.4101,300.62,20,0,1.46,PK,1696444842
258,castro alves,-12.7656,-39.4283,302.34,53,88,6.42,BR,1696444842
259,nova sintra,14.8667,-24.7167,297.96,74,51,3.06,CV,1696444842
260,makokou,0.5738,12.8642,295.83,96,99,0.88,GA,1696444842
261,piti village,13.4626,144.6933,298.64,95,100,4.12,GU,1696444842
262,midvagur,62.0511,-7.1939,282.61,93,100,1.54,FO,1696444843
